car_park_no,update_datetime,capacity_H_lots,available_H_lots,capacity_C_lots,available_C_lots,capacity_Y_lots,available_Y_lots,capacity_L_lots,available_L_lots,capacity_S_lots,available_S_lots,capacity_M_lots,available_M_lots
TM41,2025-03-08T13:18:49,0,0,272,194,0,0,0,0,0,0,0,0
W83,2025-03-08T13:19:00,0,0,448,333,0,0,0,0,0,0,0,0
W84,2025-03-08T13:18:50,0,0,499,341,0,0,0,0,0,0,0,0
CK18,2025-03-08T13:19:14,0,0,98,33,0,0,0,0,0,0,0,0
SE51,2025-03-08T13:19:59,0,0,280,158,0,0,0,0,0,0,0,0
HG33,2025-03-08T13:22:22,0,0,496,256,0,0,0,0,0,0,0,0
A77,2025-03-08T13:19:57,0,0,276,160,0,0,0,0,0,0,0,0
A78,2025-03-08T13:19:50,0,0,525,270,0,0,0,0,0,0,0,0
SB7,2025-03-08T13:17:36,0,0,421,340,0,0,0,0,0,0,0,0
SB8,2025-03-08T13:17:47,0,0,296,209,0,0,0,0,0,0,0,0
SB9,2025-03-08T13:18:26,0,0,486,413,0,0,0,0,0,0,0,0
W41,2025-03-08T13:19:33,0,0,251,116,0,0,0,0,0,0,0,0
W55,2025-03-08T13:19:33,0,0,373,238,0,0,0,0,0,0,0,0
Y29,2025-03-08T13:19:15,0,0,26,0,0,0,0,0,0,0,0,0
BE34,2025-03-08T13:20:06,0,0,303,171,0,0,0,0,0,0,0,0
BE35,2025-03-08T13:20:07,0,0,190,67,0,0,0,0,0,0,0,0
Y65M,2025-03-08T13:19:40,0,0,500,374,0,0,0,0,0,0,0,0
Y66M,2025-03-08T13:20:51,0,0,412,281,0,0,0,0,0,0,0,0
BJ58,2025-03-08T13:19:18,0,0,850,688,0,0,0,0,0,0,0,0
W98,2025-03-08T13:19:03,0,0,1494,1117,0,0,0,0,0,0,0,0
W61,2025-03-08T13:19:09,0,0,1209,711,0,0,0,0,0,0,0,0
TM47,2025-03-08T13:19:48,0,0,638,462,0,0,0,0,0,0,0,0
T7A,2025-03-08T13:19:48,0,0,283,232,0,0,0,0,0,0,0,0
B23M,2025-03-08T13:20:09,0,0,860,636,0,0,0,0,0,0,0,0
A13,2025-03-08T13:19:32,0,0,154,51,0,0,0,0,0,0,0,0
SH1,2025-03-08T13:20:01,0,0,607,361,0,0,0,0,0,0,0,0
BJ50,2025-03-08T13:19:23,0,0,854,636,0,0,0,0,0,0,0,0
BJ53,2025-03-08T13:19:23,0,0,1064,812,0,0,0,0,0,0,0,0
BJ54,2025-03-08T13:18:58,0,0,625,452,0,0,0,0,0,0,0,0
H93L,2025-03-08T13:22:37,0,0,38,0,0,0,0,0,0,0,0,0
HG93,2025-03-08T13:22:31,0,0,905,632,0,0,0,0,0,0,0,0
HG98,2025-03-08T13:22:20,0,0,304,163,0,0,0,0,0,0,0,0
BJ61,2025-03-08T13:18:59,0,0,470,286,0,0,0,0,0,0,0,0
CKM4,2025-03-08T13:19:03,0,0,537,373,0,0,0,0,0,0,0,0
CK74,2025-03-08T13:18:56,0,0,855,525,0,0,0,0,0,0,0,0
CK78,2025-03-08T13:19:10,0,0,1712,1434,0,0,0,0,0,0,0,0
KJML,2025-03-08T13:18:21,0,0,5,4,0,0,0,0,0,0,0,0
KRM,2025-03-08T13:19:42,0,0,173,100,0,0,0,0,0,0,0,0
C29A,2025-03-08T13:19:28,0,0,102,30,0,0,0,0,0,0,0,0
CLRG,2025-03-08T13:19:22,0,0,495,339,0,0,0,0,0,0,0,0
CLTR,2025-03-08T13:19:22,0,0,743,510,0,0,0,0,0,0,0,0
BE18,2025-03-08T13:20:13,0,0,560,269,0,0,0,0,0,0,0,0
BE44,2025-03-08T13:20:13,0,0,424,331,0,0,0,0,0,0,0,0
PDC5,2025-03-08T13:19:14,0,0,185,55,0,0,0,0,0,0,0,0
PDP5,2025-03-08T13:19:24,0,0,140,93,0,0,0,0,0,0,0,0
GM1M,2025-03-08T13:19:43,0,0,1530,1052,0,0,0,0,0,0,0,0
CK1,2025-03-08T13:18:54,0,0,331,162,0,0,0,0,0,0,0,0
PDR2,2025-03-08T13:19:29,0,0,222,0,0,0,0,0,0,0,0,0
PDR6,2025-03-08T13:19:10,0,0,251,160,0,0,0,0,0,0,0,0
Y14,2025-03-08T13:19:39,0,0,629,407,0,0,0,0,0,0,0,0
SK1,2025-03-08T13:17:16,0,0,657,413,0,0,0,0,0,0,0,0
SK8,2025-03-08T13:17:55,0,0,659,520,0,0,0,0,0,0,0,0
BRM7,2025-03-08T13:18:58,0,0,360,239,0,0,0,0,0,0,0,0
TPMR,2025-03-08T13:18:28,0,0,374,247,0,0,0,0,0,0,0,0
Y1,2025-03-08T13:19:36,0,0,134,0,0,0,0,0,0,0,0,0
Y2,2025-03-08T13:19:36,0,0,399,93,0,0,0,0,0,0,0,0
Y54M,2025-03-08T13:19:41,0,0,434,52,0,0,0,0,0,0,0,0
PDR7,2025-03-08T13:19:10,0,0,169,61,0,0,0,0,0,0,0,0
PDS1,2025-03-08T13:19:04,0,0,346,191,0,0,0,0,0,0,0,0
PDT8,2025-03-08T13:19:05,0,0,45,0,0,0,0,0,0,0,0,0
PDW7,2025-03-08T13:19:16,0,0,171,51,0,0,0,0,0,0,0,0
CCKC,2025-03-08T13:18:50,0,0,53,15,0,0,0,0,0,0,0,0
UBM2,2025-03-08T13:18:44,0,0,485,348,0,0,0,0,0,0,0,0
BL8L,2025-03-08T13:19:25,0,0,6,0,0,0,0,0,0,0,0,0
Y30M,2025-03-08T13:19:26,0,0,249,100,0,0,0,0,0,0,0,0
WCC,2025-03-08T13:18:55,0,0,190,0,0,0,0,0,0,0,0,0
SB47,2025-03-08T13:17:57,0,0,182,103,0,0,0,0,0,0,0,0
P73L,2025-03-08T13:20:01,0,0,4,3,0,0,0,0,0,0,0,0
S116,2025-03-08T13:17:52,0,0,227,117,0,0,0,0,0,0,0,0
DWSO,2025-03-08T13:16:13,50,50,613,448,0,0,0,0,0,0,0,0
DWSO,2025-03-08T13:10:12,0,0,0,0,189,134,0,0,0,0,0,0
BKE3,2025-03-08T13:19:48,0,0,17,0,0,0,0,0,0,0,0,0
BKE2,2025-03-08T13:19:48,0,0,17,0,0,0,0,0,0,0,0,0
S114,2025-03-08T13:17:49,0,0,336,195,0,0,0,0,0,0,0,0
DSR1,2025-03-08T13:14:28,50,0,200,125,194,158,0,0,0,0,0,0
DSR2,2025-03-08T13:14:28,50,0,616,456,100,55,0,0,0,0,0,0
DSRL,2025-03-08T13:14:28,50,0,4,0,100,95,0,0,0,0,0,0
BJ69,2025-03-08T13:19:55,0,0,428,267,0,0,0,0,0,0,0,0
BJ71,2025-03-08T13:19:47,0,0,312,201,0,0,0,0,0,0,0,0
BJ72,2025-03-08T13:20:02,0,0,200,117,0,0,0,0,0,0,0,0
SK54,2025-03-08T13:17:50,0,0,500,345,0,0,0,0,0,0,0,0
HG1F,2025-03-08T13:19:04,0,0,469,303,0,0,0,0,0,0,0,0
CK79,2025-03-08T13:19:33,0,0,500,389,0,0,0,0,0,0,0,0
TPMS,2025-03-08T13:17:37,0,0,327,185,0,0,0,0,0,0,0,0
Y80M,2025-03-08T13:17:55,0,0,363,160,0,0,0,0,0,0,0,0
S115,2025-03-08T13:17:54,0,0,342,175,0,0,0,0,0,0,0,0
SE12,2022-10-05T11:24:29,0,0,0,0,0,0,0,0,0,0,0,0
A55,2025-03-08T13:19:38,0,0,445,10,0,0,0,0,0,0,0,0
Y49H,2025-03-08T13:19:39,0,0,27,5,0,0,0,0,0,0,0,0
U67,2025-03-08T13:19:37,0,0,483,265,0,0,0,0,0,0,0,0
Y81M,2025-03-08T13:17:59,0,0,520,341,0,0,0,0,0,0,0,0
KBRM,2025-03-08T13:19:20,0,0,257,156,0,0,0,0,0,0,0,0
PL84,2025-03-08T13:18:42,0,0,489,293,0,0,0,0,0,0,0,0
TM1A,2025-03-08T13:19:03,0,0,651,389,0,0,0,0,0,0,0,0
TM56,2025-03-08T13:18:56,0,0,20,0,0,0,0,0,0,0,0,0
S16L,2025-03-08T13:18:29,10,10,6,3,10,10,0,0,0,0,0,0
PL79,2025-03-08T13:19:35,0,0,564,338,0,0,0,0,0,0,0,0
PL85,2025-03-08T13:18:55,0,0,277,160,0,0,0,0,0,0,0,0
PL86,2025-03-08T13:19:04,0,0,162,106,0,0,0,0,0,0,0,0
PL87,2025-03-08T13:19:32,0,0,383,246,0,0,0,0,0,0,0,0
SB36,2025-03-08T13:19:50,0,0,279,161,0,0,0,0,0,0,100,78
PL89,2025-03-08T13:18:43,0,0,654,446,0,0,0,0,0,0,0,0
P89L,2025-03-08T13:18:43,0,0,7,3,0,0,0,0,0,0,0,0
THM,2025-03-08T13:16:51,303,50,303,289,135,121,0,0,0,0,0,0
NT13,2025-03-08T13:19:37,0,0,260,178,0,0,0,0,0,0,0,0
BL24,2025-03-08T13:18:59,0,0,200,73,0,0,0,0,0,0,0,0
TH1L,2025-03-08T13:18:28,0,0,8,5,0,0,0,0,0,0,0,0
TH1,2025-03-08T13:19:21,0,0,528,368,0,0,0,0,0,0,0,0
NT9,2025-03-08T13:19:28,0,0,862,506,0,0,0,0,0,0,0,0
N12L,2025-03-08T13:19:02,0,0,4,0,0,0,0,0,0,0,0,0
NT12,2025-03-08T13:19:02,0,0,465,294,0,0,0,0,0,0,0,0
MM7L,2025-03-08T13:19:34,0,0,2,0,0,0,0,0,0,0,0,0
MM7,2025-03-08T13:19:34,0,0,436,394,0,0,0,0,0,0,0,0
